id,label
1,fake
2,fake
3,fake
4,fake
5,real
6,real
7,real
8,real
9,fake
10,fake
11,real
12,fake
13,fake
14,real
15,real
16,real
17,real
18,fake
19,fake
20,real
21,fake
22,real
23,fake
24,real
25,real
26,real
27,real
28,fake
29,real
30,real
31,fake
32,real
33,real
34,real
35,real
36,real
37,fake
38,real
39,fake
40,real
41,fake
42,real
43,real
44,fake
45,fake
46,real
47,real
48,fake
49,fake
50,fake
51,real
52,fake
53,real
54,fake
55,real
56,real
57,fake
58,fake
59,real
60,real
61,fake
62,real
63,real
64,fake
65,real
66,real
67,real
68,fake
69,fake
70,real
71,real
72,real
73,fake
74,real
75,real
76,real
77,fake
78,real
79,fake
80,fake
81,fake
82,fake
83,fake
84,fake
85,real
86,real
87,real
88,fake
89,fake
90,real
91,real
92,real
93,real
94,fake
95,real
96,real
97,fake
98,real
99,real
100,fake
101,real
102,fake
103,fake
104,real
105,fake
106,fake
107,real
108,real
109,real
110,fake
111,fake
112,fake
113,fake
114,real
115,fake
116,real
117,fake
118,fake
119,real
120,real
121,real
122,fake
123,real
124,real
125,fake
126,fake
127,fake
128,real
129,fake
130,real
131,fake
132,fake
133,real
134,real
135,real
136,fake
137,real
138,fake
139,real
140,real
141,fake
142,real
143,real
144,fake
145,fake
146,fake
147,real
148,real
149,fake
150,fake
151,real
152,real
153,real
154,real
155,fake
156,real
157,fake
158,fake
159,real
160,fake
161,fake
162,fake
163,fake
164,fake
165,real
166,fake
167,real
168,real
169,fake
170,real
171,fake
172,real
173,real
174,fake
175,real
176,real
177,real
178,fake
179,real
180,fake
181,real
182,fake
183,fake
184,real
185,fake
186,real
187,real
188,real
189,real
190,real
191,fake
192,fake
193,real
194,real
195,real
196,real
197,fake
198,real
199,fake
200,real
201,real
202,real
203,fake
204,real
205,fake
206,real
207,real
208,fake
209,fake
210,fake
211,fake
212,real
213,real
214,fake
215,fake
216,fake
217,real
218,fake
219,fake
220,real
221,fake
222,fake
223,real
224,fake
225,fake
226,real
227,fake
228,real
229,real
230,fake
231,fake
232,real
233,real
234,real
235,real
236,fake
237,real
238,real
239,real
240,real
241,fake
242,real
243,fake
244,fake
245,real
246,fake
247,real
248,real
249,real
250,fake
251,fake
252,fake
253,fake
254,fake
255,fake
256,fake
257,real
258,real
259,real
260,fake
261,real
262,fake
263,real
264,real
265,fake
266,fake
267,fake
268,real
269,fake
270,fake
271,fake
272,real
273,real
274,real
275,fake
276,fake
277,real
278,real
279,fake
280,real
281,fake
282,real
283,fake
284,real
285,real
286,fake
287,real
288,fake
289,real
290,real
291,fake
