id,label
1,fake
2,fake
3,fake
4,fake
5,real
6,real
7,fake
8,fake
9,real
10,real
11,real
12,real
13,fake
14,real
15,fake
16,fake
17,real
18,fake
19,fake
20,real
21,fake
22,fake
23,fake
24,real
25,real
26,real
27,fake
28,real
29,fake
30,real
31,real
32,real
33,real
34,fake
35,fake
36,fake
37,fake
38,real
39,fake
40,real
41,fake
42,real
43,real
44,real
45,real
46,fake
47,real
48,fake
49,fake
50,fake
51,real
52,fake
53,fake
54,fake
55,fake
56,fake
57,real
58,real
59,real
60,real
61,fake
62,fake
63,real
64,real
65,fake
66,real
67,fake
68,real
69,fake
70,real
71,real
72,real
73,fake
74,fake
75,real
76,real
77,fake
78,real
79,fake
80,fake
81,fake
82,fake
83,real
84,fake
85,real
86,real
87,real
88,fake
89,real
90,real
91,fake
92,real
93,real
94,real
95,real
96,real
97,fake
98,fake
99,real
100,fake
101,real
102,fake
103,fake
104,fake
105,fake
106,fake
107,real
108,real
109,real
110,fake
111,fake
112,real
113,fake
114,real
115,real
116,real
117,fake
118,fake
119,real
120,real
121,real
122,fake
123,real
124,real
125,fake
126,fake
127,fake
128,real
129,fake
130,real
131,fake
132,real
133,real
134,real
135,fake
136,fake
137,fake
138,fake
139,fake
140,fake
141,real
142,real
143,fake
144,real
145,real
146,fake
147,real
148,real
149,fake
150,fake
151,real
152,real
153,real
154,real
155,real
156,real
157,fake
158,real
159,real
160,fake
161,fake
162,real
163,fake
164,real
165,real
166,real
167,real
168,real
169,real
170,real
171,fake
172,fake
173,fake
174,real
175,real
176,real
177,real
178,fake
179,real
180,fake
181,fake
182,fake
183,real
184,real
185,fake
186,real
187,fake
188,real
189,real
190,real
191,fake
192,real
193,real
194,real
195,real
196,real
197,fake
198,real
199,real
200,real
201,real
202,real
203,fake
204,real
205,fake
206,real
207,real
208,real
209,real
210,fake
211,fake
212,fake
213,real
214,fake
215,fake
216,fake
217,real
218,fake
219,fake
220,real
221,real
222,fake
223,real
224,real
225,fake
226,real
227,real
228,real
229,fake
230,fake
231,fake
232,real
233,real
234,fake
235,fake
236,real
237,fake
238,real
239,real
240,real
241,fake
242,fake
243,fake
244,fake
245,real
246,fake
247,real
248,fake
249,real
250,real
251,real
252,fake
253,real
254,fake
255,fake
256,real
257,real
258,real
259,real
260,fake
261,fake
262,real
263,real
264,real
265,real
266,fake
267,fake
268,real
269,real
270,fake
271,real
272,fake
273,fake
274,fake
275,fake
276,fake
277,fake
278,fake
279,fake
280,real
281,fake
282,real
283,real
284,real
285,real
286,real
287,fake
288,fake
289,real
290,real
291,fake
292,real
